iter	Passed	Remaining
944	2463	143
945	2466	140
946	2469	138
947	2471	135
948	2473	132
949	2476	130
950	2478	127
951	2481	125
952	2483	122
953	2486	119
954	2488	117
955	2491	114
956	2493	112
957	2496	109
958	2499	106
959	2501	104
960	2504	101
961	2506	99
962	2508	96
963	2511	93
964	2513	91
965	2516	88
966	2518	85
967	2521	83
968	2523	80
969	2525	78
970	2528	75
971	2530	72
972	2533	70
973	2535	67
974	2538	65
975	2540	62
976	2543	59
977	2545	57
978	2548	54
979	2550	52
980	2552	49
981	2555	46
982	2557	44
983	2559	41
984	2562	39
985	2564	36
986	2566	33
987	2569	31
988	2571	28
989	2574	26
990	2576	23
991	2579	20
992	2581	18
993	2583	15
994	2586	12
995	2589	10
996	2591	7
997	2593	5
998	2596	2
999	2598	0
